"scope","path","status","run","ms"
"netdisk","/api/baidu/get_qr","200","1","16583.6"
"netdisk","/api/baidu/get_qr","200","2","16078.8"
"netdisk","/api/baidu/get_qr","200","3","12049.4"
"netdisk","/api/baidu/get_qr","200","4","18558.3"
"netdisk","/api/baidu/get_qr","200","5","11563.5"
"main","/geetest/register","200","1","821.9"
"main","/geetest/register","200","2","823.3"
"main","/geetest/register","200","3","784.1"
"main","/geetest/register","200","4","773.9"
"main","/geetest/register","200","5","814.3"
"netdisk","/api/auth/login-logs","200","1","234.5"
"netdisk","/api/auth/login-logs","200","2","218.7"
"netdisk","/api/auth/login-logs","200","3","226.7"
"netdisk","/api/auth/login-logs","200","4","219.6"
"netdisk","/api/auth/login-logs","200","5","223.5"
"netdisk","/api/dashboard/summary","200","1","147.4"
"netdisk","/api/dashboard/summary","200","2","152.4"
"netdisk","/api/dashboard/summary","200","3","147.7"
"netdisk","/api/dashboard/summary","200","4","150.3"
"netdisk","/api/dashboard/summary","200","5","147.3"
"judian","/dashboard/summary","200","1","134.5"
"judian","/dashboard/summary","200","2","116"
"judian","/dashboard/summary","200","3","115.3"
"judian","/dashboard/summary","200","4","112.2"
"judian","/dashboard/summary","200","5","116.1"
"netdisk","/api/cdkey/list","200","1","96.1"
"netdisk","/api/cdkey/list","200","2","98.2"
"netdisk","/api/cdkey/list","200","3","96.3"
"netdisk","/api/cdkey/list","200","4","97.3"
"netdisk","/api/cdkey/list","200","5","95.4"
"netdisk","/api/account/{account_id}/devices","404","1","75.2"
"netdisk","/api/account/{account_id}/devices","404","2","94.9"
"netdisk","/api/account/{account_id}/devices","404","3","78"
"netdisk","/api/account/{account_id}/devices","404","4","80.5"
"netdisk","/api/account/{account_id}/devices","404","5","78.4"
"judian","/cdkeys","200","1","115.9"
"judian","/cdkeys","200","2","101.1"
"judian","/cdkeys","200","3","105"
"judian","/cdkeys","200","4","106.8"
"judian","/cdkeys","200","5","108.2"
"judian","/cards","200","1","92.9"
"judian","/cards","200","2","93.5"
"judian","/cards","200","3","90.4"
"judian","/cards","200","4","96"
"judian","/cards","200","5","93.6"
"judian","/cards/{card_id}","404","1","96.9"
"judian","/cards/{card_id}","404","2","98.9"
"judian","/cards/{card_id}","404","3","96.6"
"judian","/cards/{card_id}","404","4","94.2"
"judian","/cards/{card_id}","404","5","93.6"
"judian","/cdkeys/claim","404","1","99.2"
"judian","/cdkeys/claim","404","2","95.4"
"judian","/cdkeys/claim","404","3","98.1"
"judian","/cdkeys/claim","404","4","97.2"
"judian","/cdkeys/claim","404","5","97.3"
"judian","/cdkeys/claim/text","404","1","93.6"
"judian","/cdkeys/claim/text","404","2","95.8"
"judian","/cdkeys/claim/text","404","3","98.7"
"judian","/cdkeys/claim/text","404","4","96.2"
"judian","/cdkeys/claim/text","404","5","92.9"
